Location,Latitude,Longitude
Virginia Beach VA,36.8529,-75.9780
Omaha NE,41.2565,-95.9345
Colorado Springs CO,38.8339,-104.8214
Raleigh NC,35.7796,-78.6382
Oakland CA,37.8044,-122.2711
Minneapolis MN,44.9778,-93.2650
Tulsa OK,36.1539,-95.9928
Arlington TX,32.7357,-97.1081
New Orleans LA,29.9511,-90.0715
Wichita KS,37.6872,-97.3301
